Number One,Number Two,Their GCD,Time Spent (Milliseconds)
902220,269414,2,2.19572
550292,661267,1,4.53276
733182,25249,1,0.233844
757328,256469,1,2.38835
250868,140063,1,1.11791
450134,278030,2,2.14471
57251,740803,1,0.276653
844926,403394,2,1.70602
337329,252177,3,1.0681
783002,545495,1,2.74112
831262,402773,1,1.70653
963526,691752,2,2.91736
626508,470416,4,2.04399
199718,830613,1,0.871866
991953,56788,1,0.269951
381150,394123,1,1.63281
651195,222732,9,1.26224
223394,994891,1,1.16812
483895,113102,1,0.47099
135736,981018,2,0.640922
637846,416521,1,1.86926
47544,295231,1,0.198538
506669,524151,1,2.16091
742830,419561,1,1.79904
100955,292823,1,0.47179
167901,209716,1,0.751243
240112,528860,4,1.01779
632516,508320,4,2.49377
858283,577674,1,2.46657
329257,477868,1,1.43197
551949,211703,1,0.966884
157756,268416,4,0.673728
72446,672218,2,0.301957
676444,364772,4,1.5749
727917,455391,3,1.96237
569351,536484,1,2.37015
188074,830725,1,0.852762
363030,918288,6,2.43696
565180,603210,10,2.75172
188827,549568,1,0.907573
445496,778498,2,2.17311
264265,635743,1,1.16742
744532,330512,4,1.49098
671628,94708,4,0.502496
571221,34731,9,0.174433
788278,145608,2,0.690031
91232,788523,1,0.456787
327214,981680,2,1.62271
469971,250862,1,1.23874
387979,892941,1,1.86035
169063,526115,1,1.00129
610506,216472,2,0.917375
444615,950170,5,1.88246
225973,385546,1,0.957783
311373,205289,1,0.883068
755348,143725,1,0.906873
437402,256419,1,1.41077
352103,341733,1,1.65702
889113,144397,1,0.782649
668105,827986,1,3.05758
973664,246391,1,1.23203
520085,344942,1,1.45138
157860,775089,9,0.719137
239646,502192,2,1.26944
511569,30918,3,0.128824
119695,794088,1,0.585011
6878,872325,1,0.033306
492774,154836,6,0.691131
161367,434731,1,0.694332
361252,150658,2,0.753343
819162,452365,1,1.98968
693543,835963,1,3.41605
950437,488274,1,2.1091
159900,779006,2,0.700234
48742,917671,1,0.21174
16615,777099,1,0.069313
374846,403283,1,1.79864
432839,883603,1,2.01398
295525,765033,1,1.32885
852268,337785,1,1.47238
613982,544749,1,2.31134
669521,643010,1,2.75663
970924,500915,1,2.70872
445268,341879,1,2.02689
119699,63653,1,0.401176
358173,496821,3,1.88656
218971,939509,1,1.12681
657928,959308,4,5.70819
562748,177029,1,2.78383
344188,284915,1,3.77522
378865,194353,1,1.27424
607763,50630,1,0.332763
654724,172618,2,1.22373
354268,202179,1,1.61571
886218,28471,1,0.136626
431089,154414,1,1.08191
241336,398114,2,2.72692
565013,96959,1,0.703734
467156,712187,1,6.42962
192364,404167,1,1.80384
198320,668422,2,1.96257
631726,483180,2,4.02087
668719,885877,1,5.7843
391151,539828,1,3.01147
184050,385768,2,1.40197
861148,465147,1,2.6093
231526,588302,2,1.28855
275702,380460,2,1.33405
92032,259814,2,0.460387
720522,312371,1,1.52079
364736,466713,1,2.1252
28014,413040,6,0.20754
421123,860044,1,2.84614
919566,383885,1,2.39296
651381,911689,1,4.07048
169136,854496,16,1.21753
358921,741069,1,2.01088
980516,28088,4,0.134625
181200,342879,3,0.884368
943817,607049,1,3.10849
113507,636718,1,0.543903
790183,874443,1,3.92655
362469,704722,1,1.84645
46000,777020,20,0.221142
805147,39910,1,0.191137
881875,740740,5,4.90493
758018,207033,1,1.39397
777739,820810,1,5.05656
506200,670192,8,3.35264
60449,556408,1,0.386674
808898,451732,2,4.33012
187338,17361,3,0.111121
289960,728742,2,2.28613
362281,776080,1,2.39826
173640,594418,2,1.74303
790568,190576,8,2.00458
263460,513940,20,2.31954
540376,198094,2,1.40887
491872,620142,2,3.70701
909393,122604,3,0.816656
600920,795366,2,4.01706
246275,783990,5,1.5964
859377,235524,3,1.5852
386771,535852,1,2.52188
813188,416939,1,2.77623
181940,196915,5,1.38536
603087,780512,1,4.10838
765672,446612,4,2.89755
276450,209419,1,1.44207
796918,565845,1,3.6914
215142,355124,2,1.39146
474578,642830,2,3.89004
446577,9613,1,0.061612
270377,348604,1,1.76164
297123,707403,3,2.04509
357875,372460,5,2.43996
672916,814744,4,5.37462
485412,526603,1,3.48426
303987,547606,1,2.03229
865837,886224,37,5.66688
695599,753474,1,6.40452
994606,57178,2,0.813455
14371,227731,7,0.181334
944947,748151,1,7.25078
393858,488348,2,4.42704
955970,198203,1,1.32755
767366,310077,1,2.01478
243624,306419,1,1.69192
356156,83437,1,0.960283
949056,55916,4,0.572309
910030,919039,11,6.18858
193085,890543,1,1.45018
863361,585732,3,4.7166
500519,246136,1,1.72063
114371,874188,1,0.816856
283317,117814,1,0.84096
978766,492365,1,3.45206
859911,495686,17,3.27882
798241,908838,1,5.61197
712946,527174,2,3.40725
274344,613015,1,1.77724
433055,102085,5,0.813555
672282,890685,9,4.76731
331212,594171,3,2.6205
305234,184283,1,1.23033
234757,384247,1,1.52699
413042,137450,2,0.879568
815090,562053,1,3.96025
939678,777438,6,5.18799
355075,622072,1,2.31184
214081,805782,1,1.41507
24778,681286,2,0.15873
570010,563133,1,4.27421
379854,156260,2,0.99839
45846,368029,1,0.293656
121797,87320,1,0.558006
294827,714184,1,2.03309
524651,883363,1,3.43305
459140,365775,5,2.35885
472227,731654,7,3.08709
750848,714031,1,4.88493
475398,179708,2,1.18603
716771,463994,1,3.141
31565,5473,1,0.035507
741226,535669,1,3.53777
90623,420487,1,0.57901
652794,378246,6,3.1601
640794,913421,1,4.1872
872876,675536,4,4.46565
314907,745111,1,2.05109
794502,432358,2,2.81944
503094,440881,1,3.22111
842507,950316,1,7.72067
709465,444365,5,2.92766
748347,237958,1,1.5633
69409,208429,1,0.594013
323714,658055,1,2.6503
795088,340007,1,2.93666
772667,917121,1,6.48693
696674,451027,1,3.76352
804228,718313,1,6.27799
303831,484471,1,2.57819
504568,469004,4,4.31652
918671,130482,1,1.29505
328376,51515,1,0.493694
94120,546759,1,0.973386
753038,788573,1,7.75578
107432,517240,8,1.00659
780507,886678,13,7.09155
161113,865614,1,1.46008
378497,236494,1,2.76683
177203,126058,1,1.89146
197591,620270,1,3.09489
538302,468569,1,4.48125
723375,775352,1,7.73077
