Number One,Number Two,Their GCD,Time Spent (Milliseconds)
885674,168020,2,0.770895
639868,643633,1,2.93008
107961,58857,3,0.259998
440161,674567,1,1.88799
664158,121512,6,0.524196
274075,453040,5,1.15469
666906,574430,2,2.44758
223451,326855,1,0.943193
615009,261320,1,1.12809
501499,703891,1,2.11779
23805,379393,1,0.099599
442416,440655,3,2.22988
134645,696822,7,0.560696
30277,842530,13,0.126299
211934,468608,2,0.915194
399302,619842,2,1.81869
89830,187083,13,0.374297
597080,250971,1,1.04609
355461,845140,1,1.49749
874595,902766,1,3.71057
734046,114562,2,0.477496
616574,426634,2,1.85709
672985,241489,1,1.02269
588406,792887,1,2.55118
551306,187699,1,0.804995
805216,50435,1,0.225798
644236,159487,1,0.663695
294011,118601,1,0.493997
835804,463801,1,1.99879
287069,707420,1,1.21669
404939,299876,1,1.24799
671501,91187,1,0.438697
507686,611902,2,2.12888
254710,917467,1,1.06019
18746,508206,2,0.078499
831250,717647,7,3.02638
265754,71377,1,0.297298
70693,157069,1,0.312897
829013,671486,1,2.85878
631263,384709,1,1.61729
465032,454342,2,1.94659
581580,507005,5,2.13209
29654,132872,2,0.123699
432973,503107,1,1.83499
435109,756310,1,1.87379
390794,919175,1,1.68249
666597,22640,1,0.094299
795695,94548,1,0.393597
329236,417785,1,1.48059
45149,850159,1,0.188198
975015,702605,5,3.02288
151119,561784,1,0.629295
669024,116348,4,0.501697
474077,639687,1,2.04519
82633,977543,1,0.370197
271534,286629,1,1.14809
750612,766348,4,3.18228
948058,792854,2,3.38978
125530,631892,2,0.522696
478594,358000,2,1.83219
93212,157175,1,0.448997
980663,402591,1,1.69119
358070,241329,1,1.03169
36943,208249,1,0.173098
264329,874230,1,1.12319
467146,118816,2,0.535796
666526,886280,2,2.89128
815450,581840,10,2.54048
99553,648200,1,0.414397
731840,133276,4,0.568396
97433,459982,1,0.405697
809329,62732,1,0.272298
776274,136272,6,0.581096
941241,16983,3,0.071199
487734,781326,78,2.27248
418253,860009,1,1.83059
538024,8754,2,0.036899
149493,369905,1,0.669396
912436,314793,1,1.32209
851627,214604,1,0.916094
802431,180071,1,0.771494
607428,373027,1,1.55939
961398,53132,2,0.221598
210376,377718,2,0.902694
650705,549350,5,2.34568
669191,539410,1,2.28048
182921,553431,1,0.779794
88372,827586,2,0.373698
693528,619272,24,2.70538
359895,118437,3,0.505297
160350,754922,2,0.673895
491717,98452,1,0.427097
534254,41174,14,0.171699
42171,951760,1,0.181898
207478,393555,1,0.863694
144732,224741,1,0.632496
535280,558959,1,2.28018
178583,140088,1,0.594396
968858,695260,2,2.97308
97575,79858,1,0.350797
31076,255219,1,0.122299
144035,833191,1,0.628696
572792,390498,2,1.68869
684930,593229,3,2.81788
26004,571322,2,0.108999
528351,568358,1,2.26868
490773,591212,1,2.07158
151090,285885,5,0.656895
690025,634559,1,2.73368
788875,175294,1,0.747794
433953,979556,1,1.85199
605626,786617,1,2.58558
732509,225616,1,1.01209
864500,385633,1,1.64319
808478,357453,1,1.51099
772394,848816,2,3.30388
10189,762803,1,0.0426
516124,344651,1,1.51929
970674,479653,1,2.03749
90414,970680,6,0.382498
4029,453958,1,0.0172
35526,648588,6,0.164998
197257,775650,1,0.841894
13992,492803,1,0.0592
971211,435458,1,1.84009
520774,627524,2,2.34548
165774,639081,3,1.28349
145483,749236,1,1.09559
277125,894002,1,1.29289
696915,581381,1,2.48678
956796,397600,284,1.71399
711268,303835,1,1.30249
127546,786575,1,0.544896
410877,58982,1,0.245799
558595,368999,1,1.66859
737270,913446,2,3.12888
440495,517420,5,2.06598
778353,787316,1,3.21598
90279,774936,9,0.392898
917633,737347,1,3.15308
458841,698637,3,1.95709
813164,109133,1,0.467597
777087,556980,3,2.37448
196769,593346,1,0.819894
555081,381666,3,2.30108
896192,264638,22,1.72709
150146,347329,1,1.00119
574000,711412,4,3.85497
200720,723717,1,1.47789
201061,512240,1,1.48599
214824,844750,2,1.58769
531220,180690,10,1.34309
315880,171820,20,1.18459
743149,617404,1,3.29868
419555,622567,1,1.77589
739349,771438,1,3.17604
875294,711618,2,3.03775
827091,734149,1,3.12835
983164,390798,2,1.77073
944350,518940,10,2.53474
567492,481149,3,2.25694
876040,120625,5,0.503308
311328,670721,1,1.32102
96541,773706,1,0.428807
901609,900011,1,3.83006
121938,350712,6,0.507608
718953,914314,1,3.05105
608542,58817,11,0.245204
897547,468372,1,2.14064
525906,142480,2,0.60361
570104,124789,1,0.540308
64158,184630,74,0.267904
48769,772919,7,0.209903
466436,966187,1,2.04313
550263,777713,1,2.37834
660719,153036,1,0.64311
576090,953721,9,2.44894
358852,32780,4,0.136903
457529,45792,1,0.190803
34469,269434,1,0.155702
583125,961429,1,2.47104
444851,920899,1,1.95393
492535,54644,1,0.261804
681105,28337,1,0.118302
474009,233884,1,0.973316
710358,304395,3,1.31612
114956,720860,4,0.501408
479476,703743,1,2.03053
763778,356208,2,1.52262
141088,608497,1,0.61741
556757,987729,1,2.34364
239887,127863,1,0.545409
766674,179817,3,0.758512
776919,151932,33,0.668211
643227,148337,1,0.63991
75313,847631,1,0.330306
581162,169639,1,0.706111
923850,187861,1,0.795813
473240,57856,8,0.241204
341829,183410,1,0.786413
812782,360352,2,1.62443
331235,832942,1,1.40792
547014,132992,2,0.553909
297707,265992,1,1.15962
109163,217386,1,0.474908
33046,182221,13,0.138002
612667,158516,1,0.660311
219154,709725,1,0.950915
535445,884741,1,2.29764
871300,639499,1,2.77675
842001,699434,1,2.95025
210097,249238,1,0.901914
244682,607625,1,1.13922
692914,415956,2,1.80353
43045,473400,5,0.179303
249497,667832,1,1.05402
561341,905849,1,2.42414
658607,283275,1,1.24282
419119,78287,1,0.325905
681910,385421,1,1.63183
978612,763331,1,3.23685
72384,549483,3,0.316505
525031,296648,1,1.25582
223419,929202,3,0.966116
104266,170976,2,0.754112
810195,388592,1,2.11413
980555,307328,1,1.30922
597679,798284,1,2.56404
722272,950577,1,3.07875
237105,755644,1,1.01212
222422,47584,2,0.198203
627091,693837,1,2.66824
304945,850456,1,1.28192
907037,133369,1,0.682811
399428,851285,1,1.79063
589174,607873,1,2.49214
985919,274620,1,1.17802
382750,576643,1,1.62783
478732,85604,4,0.356906
126835,882524,1,0.553609
181557,903630,3,0.771512
465614,360386,2,1.53462
17927,171483,13,0.084401
726756,150337,1,0.626211
203769,187063,1,0.806713
206946,383020,2,0.885514
429494,939299,1,1.83393
281127,543862,11,1.35782
783,49886,1,0.003501
519025,339848,1,1.47812
428522,876615,1,1.83423
263756,983059,1,1.13872
578385,53319,3,0.232304
625642,845986,2,2.68354
12035,270163,1,0.050401
873417,344435,1,1.47842
480840,516257,1,2.03743
734798,570613,1,2.44644
456195,267750,255,1.11472
934429,342263,1,1.55402
800976,645791,41,2.75914
787824,255551,1,1.07942
66968,160348,4,0.279204
222933,786558,3,0.978416
172331,221176,1,0.750612
740288,964732,4,3.13925
882070,37308,2,0.155902
259816,425115,47,1.11122
256155,366556,1,1.11642
858712,804648,8,3.66476
94021,227726,1,0.391406
472738,156710,2,0.678811
122744,219083,1,0.542509
821788,232941,1,0.994316
120059,359991,1,0.506008
654661,664378,1,2.77175
188342,542847,1,0.818713
169013,100510,1,0.424907
676944,162480,48,0.677011
411799,874557,1,1.75203
381986,201714,2,0.873514
644977,987116,1,2.73734
796011,936179,1,3.58196
786407,705857,1,3.58146
250948,311683,1,1.05462
370286,124305,1,0.532908
955641,613195,1,2.57654
798945,566694,3,2.52554
961317,273912,3,1.20762
596583,483304,1,2.12713
833934,398536,2,1.72233
363272,377026,26,1.52503
742321,534528,1,2.24034
800291,777844,1,3.33295
952675,288012,1,1.21342
708801,184517,1,0.768013
307610,919740,10,1.36182
81165,225071,7,0.338305
386324,70210,2,0.292305
475901,133318,1,0.563809
504633,781223,1,2.14424
67871,462191,1,0.318005
418126,572098,2,1.80783
797638,14375,1,0.060001
86750,767593,1,0.361506
189082,882625,1,0.823313
637456,457417,1,1.93913
268728,793695,3,1.13302
197012,741676,4,0.820113
400987,68725,1,0.296105
118235,162487,13,0.492408
940765,326837,7,1.37502
802516,152723,1,0.63671
498877,822125,1,2.16844
164592,387345,3,0.686111
325890,657821,1,1.46582
630378,496378,2,2.17443
106955,943016,1,0.445307
259036,602876,4,1.07822
220227,658177,1,0.931615
918540,268465,5,1.14542
754744,136868,4,0.569709
606363,249176,1,1.10592
958543,636140,1,2.68634
163444,427490,2,0.680511
78462,872272,2,0.326906
156085,115481,1,0.481007
547785,925127,7,2.33424
213516,667457,1,0.889214
628677,853979,7,2.92445
173375,384700,25,0.722011
667412,599863,1,2.52834
649142,236959,1,1.00232
895138,873344,2,3.67956
561451,204145,1,0.913314
463183,853215,1,2.07803
388720,413665,5,1.63553
910936,441783,1,2.05793
29928,631423,1,0.125802
764425,286868,1,1.24742
566677,400679,1,1.69803
74483,140659,1,0.335806
676148,452841,1,1.98253
741925,343126,1,1.45402
118707,77106,3,0.321005
823477,67501,1,0.281105
940061,533110,1,2.29624
539977,452714,1,1.90013
674674,198426,2,0.862814
884256,663474,6,3.62086
822309,595356,3,2.51214
858364,16360,4,0.082301
93583,583462,1,0.389806
580336,522403,1,2.22074
137912,251549,1,0.574109
850188,343632,12,1.44462
746896,133466,2,0.565409
81457,390168,1,0.339205
205867,496613,1,0.856914
430490,595271,1,1.86593
832622,944760,2,3.50696
979158,891528,6,3.91326
675224,442358,2,1.87483
299482,203694,2,0.847914
577360,137546,2,0.589609
210459,832711,73,0.876215
25171,927878,1,0.104801
887130,68395,5,0.285005
154356,519982,2,0.699811
242164,290267,1,1.01882
620745,647125,5,2.61334
580385,634132,1,2.60054
593959,470338,1,2.08983
289124,704300,4,1.20362
364931,684358,1,1.55032
761276,462980,4,1.96173
233773,640362,1,1.01202
490058,854976,2,2.10103
408868,824406,2,1.71853
521710,993428,2,2.20674
204751,709599,1,0.852114
558254,116668,2,0.485608
672657,510780,3,2.49704
61699,845050,1,0.257104
804491,309904,1,1.31822
307506,972224,2,1.33522
869692,384094,2,1.65083
318353,73133,1,0.304705
393806,38913,7,0.162402
135176,583453,1,0.58121
823916,298087,1,1.26492
332389,245842,1,1.03812
2560,306836,4,0.0112
104794,945164,2,0.447107
113305,558049,1,0.471908
737294,886084,2,3.11685
573878,475092,2,2.13013
801425,700458,1,2.98625
702064,460029,1,1.95383
736551,928427,1,3.12335
459403,2877,7,0.0121
955625,505317,1,2.19114
768582,420055,1,1.76483
814354,504896,2,2.12483
54474,271098,6,0.292405
766270,973825,5,3.26205
311951,423916,1,1.37142
536455,557260,5,2.26734
116577,325764,9,0.518208
146386,964150,2,0.61041
975774,958757,1,4.10557
134918,781589,1,0.561909
140638,799988,2,0.599209
468418,828249,1,2.15653
978093,1665,9,0.0071
471160,213071,1,0.904715
847457,938994,1,3.60096
621938,942348,2,2.63454
604150,210904,2,0.941916
570571,852963,1,2.42184
158818,623443,1,0.66111
917899,424669,1,1.82633
282989,449594,1,1.20012
205982,493722,2,0.928615
267589,902153,7,1.24192
265315,822440,5,1.13012
829649,832811,1,3.53366
579076,250573,1,1.06542
545194,851220,2,2.32484
819590,238628,2,1.02262
749279,415440,1,1.74793
606551,215131,1,0.932915
