Number One,Number Two,Their GCD,Time Spent (Milliseconds)
25325,234192,1,0.0996
999938,492339,1,1.9465
440645,312561,1,1.2311
535138,448707,1,1.7952
542743,378194,1,1.4914
472658,581565,1,1.8705
422638,915624,2,1.6632
883000,49566,2,0.1954
129285,244900,5,0.5084
392001,26253,3,0.1033
131340,312742,2,0.5231
883048,185467,1,0.7286
304656,965040,48,1.2018
321058,650788,2,1.3505
834249,786341,1,3.2378
561485,833590,5,2.2084
733275,687214,1,2.7194
576897,302719,1,1.1956
925300,293355,5,1.1582
320458,835435,1,1.2573
42549,305441,1,0.1673
941632,206338,2,0.817
921804,555582,6,2.1853
43487,453052,1,0.1708
972457,879422,1,3.684
886049,954078,1,3.4891
159999,276879,3,0.6466
449645,164653,1,0.6466
424277,719248,1,1.669
164933,921735,1,0.6733
584146,607856,2,2.299
791677,795885,1,3.1975
592127,903636,1,2.4324
71944,70660,4,0.2779
244526,925723,1,0.9634
948122,606475,1,2.4748
377045,518473,1,1.4836
552229,832239,1,2.2056
723767,671905,1,2.6775
294356,513237,1,1.2261
639563,356828,1,1.4033
980368,200000,16,1.2628
978988,845479,1,5.3446
674421,636217,1,2.5053
301296,114698,2,0.5588
922093,873997,1,3.6278
149624,176447,1,0.5876
567708,579652,4,2.2305
172924,342383,1,0.787
769240,279062,2,1.1282
183765,6084,3,0.0241
667591,485437,1,2.4499
696116,457711,1,2.6127
120068,933298,2,0.6829
536176,832116,4,3.1141
801384,263444,4,1.5225
948074,163535,1,0.9133
284688,111725,1,0.6374
781546,258527,1,1.4839
235329,982634,1,1.3494
401094,682227,9,2.3245
581524,300905,1,1.7824
299131,709309,1,1.6756
305697,177746,1,0.6975
909178,830253,1,3.2746
492031,511162,1,1.936
332465,504336,7,1.7485
902406,894456,6,4.7134
926430,844396,2,3.5765
818090,225984,2,0.8886
440643,672205,1,1.7339
371074,442093,1,1.4634
9039,560808,3,0.0358
474621,495830,1,1.8768
415706,914823,1,1.689
414778,747589,1,1.7781
158443,895486,1,0.6217
169516,169108,4,0.6907
774305,475932,1,1.8866
87555,663448,1,0.3439
703505,871076,1,2.8554
554275,715042,1,2.1908
48206,973827,1,0.1893
5412,890755,1,0.0223
300609,511988,1,1.1863
189525,750342,3,0.7446
957228,928408,4,3.8034
825962,391160,2,1.6114
644066,692317,1,2.5351
968472,779533,1,3.153
283452,196217,1,0.8472
313614,777000,42,1.2351
440587,976591,7,1.7456
390288,400437,3,1.5384
266625,157100,25,0.7193
69925,73253,1,0.3197
493246,761843,1,2.1537
179390,219845,5,0.7223
701204,538711,1,2.1676
213673,358055,1,0.8384
688844,333882,2,1.6784
355015,753757,1,2.1697
